index,FName,LName,ERA,IP,BB,Hard Hits,FIP,WHIP,WHHIP
1,Fernando,Abad,5.60,17.66,7,24,3.96,1.70,1.755
2,Cory,Abbott,6.75,17.33,11,25,8.94,1.79,2.077
3,Albert,Abreu,5.15,36.66,19,29,5.90,1.25,1.309
4,Bryan,Abreu,5.75,36,18,41,4.36,1.47,1.639
5,Domingo,Acevedo,3.27,11,4,11,6.17,1.18,1.364
6,Jason,Adam,5.91,10.66,6,8,3.36,1.50,1.313
7,Austin,Adams,4.10,52.66,35,26,3.89,1.20,1.158
8,Joan,Adon,3.38,5.33,3,6,4.48,1.69,1.689
9,Miguel,Aguilar,6.43,7,4,6,4.03,1.43,1.429
10,Keegan,Akin,6.63,95,40,130,5.10,1.58,1.789
11,R.J.,Alaniz,3.38,2.2,3,3,10.30,1.50,2.727
12,Andrew,Albers,7.58,19,9,31,9.64,1.74,2.105
13,Hanser,Alberto,0.00,0.33,0,0,3.17,0.00,0.000
14,Jorge,Alcala,3.92,59.66,13,56,4.06,0.97,1.157
15,Sandy,Alcantara,3.19,205.66,50,227,3.42,1.07,1.347
16,Sergio,Alcantara,0.00,0.33,0,0,3.17,0.00,0.000
17,Tyler,Alexander,3.81,106.33,28,130,4.39,1.26,1.486
18,Scott,Alexander,2.93,15.33,4,20,4.80,1.24,1.566
19,A.J.,Alexy,4.70,23,17,20,6.30,1.30,1.609
20,Kolby,Allard,5.41,124.66,31,154,5.37,1.28,1.484
21,Logan,Allen,6.26,50.33,17,73,6.05,1.49,1.788
22,Nick,Allgeyer,0.00,1,0,2,3.17,0.00,2.000
23,Yency,Almonte,7.55,47.66,29,47,5.73,1.59,1.595
24,Albert,Almora Jr.,27.00,1,1,3,22.17,2.00,4.000
25,Dan,Altavilla,6.75,1.33,0,1,9.92,0.75,0.752
26,Jose,Alvarado,4.20,55.2,47,55,4.80,1.60,1.848
27,Jose,Alvarez,2.37,64.66,19,67,3.15,1.11,1.330
28,Adbert,Alzolay,4.58,125.66,34,133,4.65,1.16,1.329
29,Chase,Anderson,6.75,48,20,56,5.86,1.48,1.583
30,Shaun,Anderson,8.49,23.33,12,40,5.57,2.06,2.229
31,Brett,Anderson,4.22,96,28,150,4.39,1.35,1.854
32,Tanner,Anderson,3.60,5,0,6,2.77,1.00,1.200
33,Drew,Anderson,3.27,22,6,28,3.90,1.18,1.545
34,Nick,Anderson,4.50,6,2,9,8.17,1.00,1.833
35,Ian,Anderson,3.58,128.33,53,138,4.12,1.23,1.488
36,Tyler,Anderson,4.53,167,38,175,4.37,1.25,1.275
37,Matt,Andriese,5.21,48.33,13,70,4.04,1.61,1.717
38,Tejay,Antone,2.14,33.66,13,26,3.26,0.89,1.159
39,Jonathan,Arauz,9.00,1,0,1,3.17,2.00,1.000
40,Chris,Archer,4.66,19.33,8,27,4.26,1.34,1.811
41,Kohei,Arihara,6.64,40.66,13,66,6.76,1.43,1.943
42,Shawn,Armstrong,6.75,36,15,46,5.75,1.50,1.694
43,Jake,Arrieta,7.39,98.66,44,149,6.17,1.77,1.956
44,Christian,Arroyo,0.00,1,1,2,19.17,2.00,3.000
45,Aaron,Ashby,4.55,31.66,12,28,3.58,1.17,1.263
46,Willians,Astudillo,2.25,4,2,3,7.92,0.75,1.250
47,Pedro,Avila,2.25,4,3,5,6.17,1.75,2.000
48,Luis,Avilan,12.60,5,3,8,6.57,2.00,2.200
49,John,Axford,54.00,0.33,1,2,21.17,9.00,9.091
50,Pedro,Baez,2.08,4.33,1,5,4.55,0.69,1.386
51,Bryan,Baker,0.00,1,0,0,1.17,1.00,0.000
52,Alberto,Baldonado,8.44,10.66,7,8,6.55,1.59,1.407
53,Anthony,Banda,4.28,33.66,13,39,4.92,1.54,1.545
54,Caleb,Baragar,1.57,23,12,26,4.30,1.35,1.652
55,Daniel,Bard,5.21,65.66,36,72,4.28,1.60,1.645
56,Joe,Barlow,1.55,29,12,26,3.45,0.83,1.310
57,Scott,Barlow,2.42,74.33,28,67,2.63,1.20,1.278
58,Matt,Barnes,3.79,54.66,20,48,3.21,1.12,1.244
59,Jacob,Barnes,6.28,28.66,11,33,5.30,1.47,1.535
60,Charlie,Barnes,5.92,38,16,54,5.06,1.63,1.842
61,Kyle,Barraclough,5.54,13,8,9,6.71,1.54,1.308
