index,FName,LName,ERA,IP,BB,Hard Hits,FIP,SIERA,WHIP,WHHIP
373,Bryan,Holaday,9.00,1,1,2,22.17,9.46,2.000,3.000
374,Derek,Holland,5.07,49.66,20,65,3.96,4.00,1.570,1.712
375,Greg,Holland,4.85,55.66,26,67,4.82,4.40,1.350,1.671
376,Jordan,Holloway,4.00,36,26,30,4.42,5.26,1.360,1.556
377,Clay,Holmes,3.60,70,29,63,3.28,3.13,1.170,1.314
378,Brock,Holt,0.00,1,0,2,3.17,6.25,1.000,2.000
379,Brent,Honeywell,8.31,4.33,3,8,9.40,5.48,1.850,2.540
380,Tanner,Houck,3.52,69,21,60,2.58,3.28,1.130,1.174
381,Adrian,Houser,3.22,142.1,64,150,4.33,4.73,1.280,1.506
382,Spencer,Howard,7.43,49.66,27,52,4.72,4.80,1.610,1.591
383,Sam,Howard,5.60,45,32,32,4.86,4.26,1.470,1.422
384,James,Hoyt,6.75,8,7,8,3.80,4.84,2.380,1.875
385,Daniel,Hudson,3.31,51.66,16,52,3.21,2.65,1.080,1.316
386,Dakota,Hudson,2.08,8.66,1,4,2.48,3.47,0.920,0.577
387,Tommy,Hunter,0.00,8,3,4,3.17,4.56,0.880,0.875
388,Drew,Hutchison,2.11,21.33,11,31,4.39,5.98,1.450,1.969
389,Raisel,Iglesias,2.57,70,12,53,2.83,2.06,0.930,0.929
390,Cole,Irvin,4.24,178.33,42,232,4.30,4.85,1.330,1.536
391,Tyler,Ivey,7.71,4.66,1,9,5.31,5.23,1.500,2.146
392,Luke,Jackson,1.98,63.66,29,64,3.66,3.75,1.160,1.461
393,Andre,Jackson,2.31,11.66,6,9,4.11,5.01,1.370,1.286
394,Jay,Jackson,3.74,21.66,12,21,4.05,3.86,1.250,1.524
395,Josh,James,5.40,5,2,5,3.77,2.54,1.200,1.400
396,Mickey,Jannis,18.90,3.33,4,10,17.87,8.80,3.600,4.204
397,Kenley,Jansen,2.22,69,36,40,3.08,3.72,1.040,1.101
398,Cristian,Javier,3.55,101.33,53,100,4.43,3.93,1.180,1.510
399,Griffin,Jax,6.37,82,29,114,6.47,5.11,1.350,1.744
400,Daulton,Jefferies,3.60,15,4,16,3.97,4.94,1.000,1.333
401,Jake,Jewell,9.90,10,5,13,9.17,4.51,2.300,1.800
402,Joe,Jimenez,5.96,45.33,35,37,5.22,4.74,1.520,1.588
403,Pierce,Johnson,3.22,58.66,27,49,3.31,3.42,1.260,1.296
404,DJ,Johnson,2.08,4.33,0,5,3.86,1.78,0.460,1.155
405,Damon,Jones,0.00,0.33,2,0,21.17,16.89,9.000,6.061
406,Nate,Jones,5.68,19,12,27,8.54,5.69,1.470,2.053
407,Jakob,Junis,5.26,39.33,12,49,4.31,3.90,1.400,1.551
408,Janson,Junk,3.86,16.33,2,20,6.29,4.90,1.350,1.347
409,James,Kaprielian,4.07,119.1,41,141,4.33,4.22,1.220,1.528
410,James,Karinchak,4.07,55.33,32,50,4.31,3.57,1.210,1.482
411,Anthony,Kay,5.61,33.2,18,31,5.43,4.25,1.660,1.476
412,Scott,Kazmir,6.35,11.33,6,19,6.43,5.10,1.850,2.207
413,Keone,Kela,5.06,10.66,3,13,5.23,3.27,1.310,1.501
414,Brad,Keller,5.39,133.66,64,187,4.72,4.84,1.660,1.878
415,Kyle,Keller,6.48,33.33,22,33,6.95,4.87,1.560,1.650
416,Mitch,Keller,6.17,100.66,49,153,4.30,4.98,1.790,2.007
417,Merrill,Kelly,4.44,158,41,194,4.11,4.43,1.290,1.487
418,Joe,Kelly,2.86,44,15,39,3.08,3.09,0.980,1.227
419,Ian,Kennedy,3.20,56.33,17,66,4.75,3.71,1.100,1.473
420,Clayton,Kershaw,3.55,121.66,21,118,3.00,3.10,1.020,1.143
421,Dallas,Keuchel,5.28,162,59,222,5.23,5.01,1.530,1.735
422,Mike,Kickham,13.50,2,1,5,10.67,4.64,3.000,3.000
423,Yusei,Kikuchi,4.41,157,62,205,4.61,4.16,1.320,1.701
424,Kwang-hyun,Kim,3.46,106.66,39,118,4.34,4.85,1.280,1.472
425,Craig,Kimbrel,2.26,59.66,23,43,2.43,2.23,0.910,1.106
426,John,King,3.52,46,12,54,3.32,3.42,1.150,1.435
427,Michael,King,3.55,63.33,24,79,3.86,4.11,1.280,1.626
428,Tyler,Kinley,4.73,70.33,26,70,4.65,4.05,1.210,1.365
429,Brandon,Kintzler,6.37,29.66,8,53,5.66,3.85,1.790,2.057
430,Andrew,Kittredge,1.88,71.66,15,69,3.04,2.95,0.980,1.172
431,Gabe,Klobosits,5.56,11.33,5,20,3.88,5.93,1.590,2.207
432,Corey,Kluber,3.83,80,33,76,3.85,4.37,1.340,1.362
433,Andrew,Knapp,0.00,0.1,0,0,3.17,-0.97,0.000,0.000
434,Corey,Knebel,2.45,25.66,9,17,2.90,3.33,0.970,1.013
435,Reiss,Knehr,4.97,29,20,41,4.96,6.21,1.480,2.103
436,Dusten,Knight,9.35,8.66,5,10,3.86,4.12,1.850,1.732
437,Brody,Koerner,3.00,3,2,3,5.50,6.69,1.330,1.667
438,Adam,Kolarek,8.00,9,5,14,7.17,4.93,2.220,2.111
439,Michael,Kopech,3.50,69.33,24,53,2.97,2.70,1.130,1.111
440,Jackson,Kowar,11.27,30.33,20,54,6.43,5.46,2.080,2.440
441,Max,Kranick,6.28,38.66,19,42,4.64,5.36,1.710,1.578
442,Joey,Krehbiel,4.32,8.33,5,6,4.85,4.89,1.200,1.321
443,Dean,Kremer,7.55,53.66,25,78,6.99,5.26,1.640,1.919
444,Brooks,Kriske,14.29,11.33,6,18,11.11,4.90,2.030,2.118
445,Ian,Krol,4.34,18.2,8,20,3.92,4.23,1.660,1.538
446,Chad,Kuhl,4.82,80.33,42,83,5.31,4.89,1.430,1.556
447,Brady,Lail,13.50,2,0,2,8.67,5.34,2.000,1.000
448,Travis,Lakins Sr.,5.79,28,17,26,5.24,5.15,1.430,1.536
449,Jimmy,Lambert,6.23,13,6,18,6.48,5.73,1.690,1.846
450,Peter,Lambert,11.12,5.66,2,10,7.76,5.40,2.470,2.120
451,Dinelson,Lamet,4.40,47,22,44,3.94,4.00,1.490,1.404
452,Alex,Lange,4.04,35.66,16,55,4.40,3.95,1.490,1.991
453,Jake,Latz,5.79,4.66,0,8,9.81,4.59,1.070,1.717
454,Eric,Lauer,3.19,118.66,41,121,4.04,4.24,1.140,1.365
455,Derek,Law,4.20,15,8,19,4.64,4.60,1.600,1.800
456,Justin,Lawrence,8.64,16.66,19,21,4.55,6.29,2.400,2.401
457,Wade,LeBlanc,4.41,49,17,62,5.39,5.47,1.490,1.612
458,Dylan,Lee,9.00,2,0,3,6.67,2.09,1.500,1.500
459,Sandy,Leon,7.50,6,1,12,9.50,5.73,1.330,2.167
460,Dominic,Leone,1.51,53.66,22,58,3.08,4.19,1.100,1.491
461,Jon,Lester,4.71,141.33,55,178,5.41,5.34,1.510,1.649
462,Josh,Lindblom,9.72,16.66,10,26,7.37,4.96,1.980,2.161
463,Zack,Littell,2.92,61.66,24,75,3.87,3.85,1.140,1.606
464,Mauricio,Llovera,9.45,6.66,4,10,13.07,5.08,2.100,2.102
465,Jonathan,Loaisiga,2.17,70.66,16,47,2.58,3.01,1.020,0.892
466,Kyle,Lobstein,20.25,1.33,1,2,13.67,5.65,3.000,2.256
467,Sammy,Long,5.53,40.66,15,44,4.23,4.40,1.280,1.451
468,Reynaldo,Lopez,3.43,57.66,13,58,4.19,3.74,0.950,1.231
469,Yoan,Lopez,6.57,12.33,6,16,5.68,4.27,1.950,1.784
470,Pablo,Lopez,3.07,102.66,26,90,3.29,3.49,1.120,1.130
471,Jorge,Lopez,6.07,121.66,56,164,5.20,4.65,1.630,1.808
472,Michael,Lorenzen,5.59,29,14,38,4.17,4.98,1.380,1.793
473,Aaron,Loup,0.95,56.66,16,52,2.45,3.32,0.940,1.200
474,Richard,Lovelady,3.48,20.66,6,21,3.85,3.10,1.060,1.307
475,Zac,Lowther,6.67,29.66,13,48,5.50,4.50,1.650,2.057
476,Joey,Lucchesi,4.46,38.33,11,40,3.40,3.79,1.170,1.331
477,Lucas,Luetge,2.74,72.33,15,64,2.84,3.27,1.130,1.092
478,Seth,Lugo,3.50,46.33,19,46,3.77,3.54,1.290,1.403
479,Jordan,Luplow,9.00,1,0,2,16.17,9.40,2.000,2.000
480,Jesus,Luzardo,6.61,95.33,48,112,5.48,4.72,1.620,1.678
481,Jordan,Lyles,5.15,180,56,233,5.34,4.70,1.390,1.606
482,Daniel,Lynch,5.69,68,31,98,4.82,5.19,1.630,1.897
483,Lance,Lynn,2.69,157,45,144,3.32,3.72,1.070,1.204
484,Andres,Machado,3.53,35.66,15,38,4.63,4.51,1.260,1.486
485,Luis,Madero,9.00,12,8,17,8.00,7.74,1.750,2.083
486,Kenta,Maeda,4.66,106.33,32,109,4.10,3.98,1.300,1.326
487,Tyler,Mahle,3.75,180,64,161,3.80,3.82,1.230,1.250
488,Luke,Maile,9.00,1,0,1,16.17,5.59,2.000,1.000
489,Sean,Manaea,3.91,179.33,41,210,3.66,3.68,1.230,1.400
490,Matt,Manning,5.80,85.33,33,122,4.62,5.27,1.510,1.816
491,Alek,Manoah,3.22,111.66,40,86,3.80,3.88,1.050,1.128
492,Joe,Mantiply,3.40,39.66,17,44,2.94,4.15,1.560,1.538
493,Dillon,Maples,2.59,31.33,25,28,4.61,4.65,1.280,1.692
494,Nick,Margevicius,8.25,12,7,17,5.34,4.99,1.670,2.000
495,German,Marquez,4.40,180,64,199,3.86,4.07,1.270,1.461
496,Evan,Marshall,5.60,27.33,9,26,4.63,3.95,1.350,1.281
497,Jose,Marte,9.00,4,3,5,6.17,4.58,1.750,2.000
498,Brett,Martin,3.18,62.33,14,70,3.54,3.88,1.300,1.348
499,Chris,Martin,3.95,43.33,6,60,3.47,3.75,1.270,1.523
500,Corbin,Martin,10.69,16,14,30,8.42,6.38,2.310,2.750
501,Carlos,Martinez,6.23,82.1,36,110,4.76,5.18,1.370,1.778
