index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
568,Hoby Milner,571948,5.40,21.66,3,17,1.523,0.923
569,Tommy Milone,543548,6.43,14,3,11,1.643,1.000
570,Juan Minaya,573668,2.48,40,20,15,1.175,0.875
571,Mike Minor,501985,5.05,158.66,41,91,1.242,0.832
573,A. J. Minter,621345,3.78,52.33,20,24,1.223,0.841
574,Anthony Misiewicz,664948,4.61,54.66,15,38,1.390,0.970
575,Bryan Mitchell,571951,4.50,4,2,3,1.750,1.250
576,Casey Mize,663554,3.71,150.33,41,75,1.138,0.772
577,Sam Moll,594580,3.48,10.33,5,5,1.258,0.968
578,Frankie Montas,593423,3.37,187,57,100,1.182,0.840
579,Rafael Montero,606160,6.39,49.33,17,26,1.541,0.872
580,Jordan Montgomery,656756,3.83,157.33,51,83,1.278,0.852
581,Matt Moore,519043,6.29,73,38,50,1.589,1.205
582,Jovani Moran,663558,7.88,8,7,2,2.000,1.125
583,Adrián Morejón,670970,3.86,4.66,2,5,1.500,1.502
584,Mitch Moreland,519048,0.00,1,0,0,1.000,0.000
585,Dauri Moreta,664294,2.45,3.66,1,1,0.818,0.546
586,Adam Morgan,605388,4.26,25.33,12,14,1.342,1.026
587,Eli Morgan,669212,5.34,89.33,22,56,1.254,0.873
588,Shawn Morimando,596049,9.58,10.33,5,6,2.226,1.065
589,Reyes Moronta,606625,2.25,4,0,1,0.250,0.250
590,Charlie Morton,450203,3.34,185.66,58,69,1.045,0.684
591,Kyle Muller,666205,4.17,36.66,20,19,1.255,1.064
592,Andres Munoz,662253,0.00,0.66,2,0,3.000,3.030
593,Patrick Murphy,641907,5.14,28,10,22,1.464,1.143
594,Joe Musgrove,605397,3.18,181.33,54,82,1.081,0.750
595,Tommy Nance,667297,7.22,28.66,13,18,1.326,1.082
596,Packy Naughton,676050,6.35,22.66,14,18,1.809,1.412
597,Nick Neidert,663734,4.54,35.66,23,19,1.514,1.178
599,Jimmy Nelson,519076,1.86,29,13,7,0.931,0.690
600,Kyle Nelson,669459,9.31,9.66,8,6,1.862,1.449
601,Nick Nelson,656793,8.79,14.33,16,11,2.163,1.884
602,Hector Neris,593576,3.63,74.33,32,33,1.170,0.874
603,Jake Newberry,623470,16.62,4.33,3,5,3.000,1.848
604,Sean Newcomb,656794,4.73,32.33,27,17,1.701,1.361
605,Ljay Newsome,664714,7.98,14.66,3,14,1.568,1.160
606,Vinny Nittoli,657697,18.00,1,2,1,3.000,3.000
607,Stephen Nogosek,668665,6.00,3,0,2,1.000,0.667
608,John Nogowski,596056,15.00,3,0,2,2.667,0.667
609,Aaron Nola,605400,4.63,180.66,39,95,1.129,0.742
610,Sean Nolin,543594,4.39,26.66,13,17,1.688,1.125
611,Daniel Norris,596057,6.16,57,30,41,1.491,1.246
612,Aaron Northcraft,573062,2.25,8,8,5,1.625,1.625
613,James Norwood,656803,0.00,5,3,4,1.800,1.400
614,Darien Núñez,628345,8.22,7.66,4,5,1.565,1.175
615,Riley O'Brien,676617,13.50,1.33,3,2,3.750,3.759
616,Darren O'Day,503285,3.38,10.66,4,3,1.219,0.657
617,Bailey Ober,641927,4.19,92.33,19,56,1.202,0.812
618,Jake Odorizzi,543606,4.21,104.66,34,63,1.252,0.927
619,Shohei Ohtani,660271,3.18,130.33,44,62,1.090,0.813
620,Steven Okert,595345,2.75,36,15,14,1.028,0.806
621,Kaleb Ort,672391,0.00,0.33,1,0,6.000,3.030
622,Oliver Ortega,661383,4.82,9.33,2,9,1.500,1.179
623,Josh Osich,592612,5.02,14.33,5,7,1.395,0.837
625,Corey Oswalt,621261,3.48,10.33,2,7,1.355,0.871
626,Adam Ottavino,493603,4.21,62,35,29,1.452,1.032
627,Glenn Otto,657248,9.26,23.33,8,16,1.714,1.029
628,Connor Overton,656818,4.70,15.33,5,8,1.239,0.848
629,Johan Oviedo,670912,4.91,62.33,37,34,1.572,1.139
630,Luis Oviedo,665854,8.80,29.66,26,22,1.989,1.618
631,Chris Paddack,663978,5.07,108.33,22,67,1.265,0.822
632,Emilio Pagan,641941,4.83,63.33,18,39,1.168,0.900
633,Enoli Paredes,660600,6.23,8.66,17,6,2.769,2.656
634,Blake Parker,453284,3.09,43.66,14,20,1.305,0.779
635,Luis Patino,672715,4.31,77.33,29,36,1.267,0.841
636,Spencer Patton,607359,3.83,42.33,15,18,1.205,0.780
637,David Paulino,600944,9.00,2,0,2,1.500,1.000
638,James Paxton,572020,6.75,1.33,1,0,0.750,0.752
639,Joel Payamps,606303,3.40,50.33,14,24,1.152,0.755
640,Brad Peacock,502748,15.19,5.33,3,4,1.688,1.313
641,Matt Peacock,676840,4.90,86.33,28,69,1.564,1.124
642,Nate Pearson,663878,4.20,15,12,10,1.733,1.467
643,Elvis Peguero,665625,27.00,2.33,3,3,4.286,2.575
644,Félix Peña,570240,37.80,1.66,4,3,6.600,4.217
645,David Peralta,444482,27.00,1,0,3,4.000,3.000
646,Freddy Peralta,642547,2.81,144.33,56,44,0.970,0.693
647,Wandy Peralta,593974,3.35,51,21,22,1.373,0.843
648,Wily Peralta,503449,3.07,93.66,38,50,1.335,0.940
649,Angel Perdomo,622780,6.35,17,16,7,1.647,1.353
651,Cionel Pérez,672335,6.38,24,20,16,1.708,1.500
652,Francisco Perez,660906,4.05,6.66,3,3,1.350,0.901
653,Hernan Perez,541650,0.00,2,0,0,0.500,0.000
654,Martin Perez,527048,4.74,114,36,78,1.509,1.000
655,Oliver Perez,424144,0.00,3.66,1,4,1.636,1.366
656,Dillon Peters,596071,3.71,26.66,10,15,1.350,0.938
657,David Peterson,656849,5.54,66.66,29,42,1.395,1.065
658,Jace Peterson,607054,9.00,2,1,1,2.500,1.000
659,Yusmeiro Petit,433589,3.92,78,12,40,1.039,0.667
660,Jake Petricka,502593,15.00,6,7,4,2.167,1.833
661,David Phelps,475479,0.87,10.33,4,3,1.161,0.678
662,Brett Phillips,621433,9.00,1,2,0,4.000,2.000
663,Evan Phillips,623465,3.38,13.33,5,8,1.200,0.975
664,Kevin Pillar,607680,0.00,0.33,0,0,0.000,0.000
665,Michael Pineda,501381,3.62,109.33,21,72,1.235,0.851
666,Nick Pivetta,601713,4.53,155,65,79,1.303,0.929
667,Kevin Plawecki,608700,0.00,1,0,0,0.000,0.000
668,Zach Plesac,668676,4.67,142.66,34,87,1.199,0.848
669,Adam Plutko,592644,6.71,56.33,27,44,1.633,1.260
670,Drew Pomeranz,519141,1.75,25.66,10,12,1.130,0.857
671,Daniel Ponce de Leon,594965,6.21,33.33,22,19,1.620,1.230
672,Cody Ponce,664074,7.04,38.33,11,35,1.748,1.200
673,Zach Pop,647315,4.12,54.66,24,25,1.427,0.896
674,Sean Poppen,664092,5.16,22.66,9,19,1.765,1.236
675,Cody Poteet,547001,4.99,30.66,16,19,1.337,1.142
677,Ryan Pressly,519151,2.25,64,13,28,0.969,0.641
678,David Price,456034,4.03,73.66,26,47,1.425,0.991
679,Austin Pruitt,643493,3.68,7.33,0,5,0.955,0.682
680,A. J. Puk,640462,6.08,13.33,6,14,1.800,1.500
681,Kevin Quackenbush,534812,27.00,0.33,0,2,9.000,6.061
682,Cal Quantrill,615698,2.89,149.66,47,74,1.176,0.808
683,Jose Quijada,650671,4.56,25.66,15,14,1.364,1.130
684,Jose Quintana,500779,6.43,63,35,46,1.730,1.286
685,Tanner Rainey,663432,7.39,31.66,25,17,1.705,1.327
686,Brooks Raley,548384,4.78,49,16,13,1.204,0.592
687,Erasmo Ramirez,541640,5.74,26.66,5,13,1.088,0.675
688,Nick Ramirez,598286,5.75,20.33,7,14,1.475,1.033
689,Noe Ramirez,598287,3.00,36,12,16,0.972,0.778
690,Roel Ramirez,641995,81.00,0.33,2,1,9.000,9.091
691,Yefry Ramirez,606162,0.00,2,1,0,0.500,0.500
692,Yohan Ramirez,670990,3.90,27.66,12,11,1.084,0.832
693,AJ Ramos,573109,0.00,4.66,2,0,0.429,0.429
694,Drew Rasmussen,656876,2.84,76,25,45,1.079,0.921
695,Robbie Ray,592662,2.84,193.33,52,97,1.045,0.771
696,Colin Rea,607067,7.50,6,0,6,1.167,1.000
697,Josh Reddick,502210,13.50,0.66,1,1,4.500,3.030
698,Cody Reed,642003,3.72,9.66,6,4,1.448,1.035
699,Jake Reed,596082,3.60,10,2,6,1.200,0.800
700,Sean Reid-Foley,656887,5.23,20.66,9,14,1.500,1.113
701,Alex Reyes,621052,3.24,72.33,52,28,1.355,1.106
703,Garrett Richards,572070,4.87,136.66,60,114,1.595,1.273
704,Trevor Richards,670950,3.50,64.33,22,32,0.964,0.839
705,Stephen Ridings,670050,1.80,5,2,3,1.200,1.000
706,Yacksel Rios,605441,4.28,27.33,16,14,1.244,1.098
707,Anthony Rizzo,519203,0.00,0.66,1,0,1.500,1.515
708,Tanner Roark,543699,6.43,7,2,6,1.286,1.143
709,Daniel Robertson,621002,0.00,1,0,1,1.000,1.000
710,David Robertson,502085,4.50,12,4,6,1.250,0.833
711,Hansel Robles,570663,4.43,69,37,38,1.377,1.087
712,Carlos Rodon,607074,2.37,132.66,36,56,0.957,0.694
713,Chris Rodriguez,669735,3.64,29.66,15,14,1.449,0.978
714,Eduardo Rodriguez,593958,4.74,157.66,47,84,1.389,0.831
715,Jefry Rodriguez,622446,5.92,24.33,17,18,1.726,1.439
716,Joely Rodriguez,570257,4.66,46.33,18,25,1.532,0.928
717,Manuel Rodríguez,655889,6.11,17.66,12,13,1.698,1.416
718,Nivaldo Rodriguez,670550,2.45,7.33,4,4,1.091,1.091
719,Richard Rodriguez,593144,2.94,64.33,10,31,0.933,0.637
720,Chaz Roe,475054,27.00,0.66,1,1,3.000,3.030
721,Jake Rogers,668670,18.00,1,1,1,3.000,2.000
722,Josh Rogers,642028,3.28,35.66,14,23,1.290,1.038
723,Taylor Rogers,573124,3.35,40.33,8,17,1.141,0.620
724,Trevor Rogers,669432,2.64,133,46,58,1.150,0.782
725,Tyler Rogers,643511,2.22,81,13,38,1.074,0.630
726,Jordan Romano,605447,2.14,63,25,26,1.048,0.810
727,Sal Romano,607219,6.12,25,11,17,1.680,1.120
729,Jhon Romero,664584,4.50,4,0,4,1.250,1.000
730,JoJo Romero,668941,7.00,9,4,7,1.778,1.222
731,Andrew Romine,461865,9.00,1,0,2,2.000,2.000
732,Sergio Romo,489265,4.67,61.66,21,20,1.249,0.665
733,Angel Rondon,667373,0.00,2,1,0,1.000,0.500
734,Joe Ross,605452,4.17,108,34,62,1.222,0.889
735,Zac Rosscup,573127,3.00,3,1,3,1.333,1.333
736,Ramon Rosso,665759,5.63,8,3,7,1.625,1.250
737,Ben Rowen,594985,5.56,11.33,2,9,1.235,0.971
738,Michael Rucker,621074,6.99,28.33,11,20,1.518,1.094
739,Darin Ruf,573131,18.00,1,0,1,3.000,1.000
740,Jose Ruiz,614179,3.05,65,25,34,1.169,0.908
741,Joe Ryan,657746,4.05,26.66,5,10,0.788,0.563
742,Kyle Ryan,594986,6.75,13.33,6,12,1.725,1.350
743,Hyun Jin Ryu,547943,4.37,169,37,112,1.225,0.882
744,Casey Sadler,594987,0.67,40.33,10,10,0.719,0.496
745,Chris Sale,519242,3.16,42.66,12,20,1.336,0.750
746,Adrian Sampson,592716,2.80,35.33,8,24,1.076,0.906
747,Aaron Sanchez,592717,3.06,35.33,15,20,1.330,0.991
748,Cristopher Sanchez,650911,4.97,12.66,7,8,1.816,1.185
749,Miguel Sanchez,667376,4.15,26,14,18,1.577,1.231
750,Nick Sandlin,680704,2.94,33.66,17,9,1.129,0.772
751,Patrick Sandoval,663776,3.62,87,36,35,1.207,0.816
752,Reiver Sanmartin,665665,1.54,11.66,2,5,1.200,0.600
753,Dennis Santana,642701,4.28,54.66,32,19,1.463,0.933
755,Edgar Santana,650828,3.59,42.66,12,21,1.148,0.774
756,Ervin Santana,429722,4.68,65.33,22,38,1.332,0.918
757,Hector Santiago,502327,3.42,26.33,11,19,1.443,1.139
758,Tony Santillan,663574,2.91,43.33,21,24,1.269,1.039
759,Antonio Santos,665733,4.76,11.33,5,4,1.235,0.794
760,Gregory Santos,666619,22.50,2,2,5,3.500,3.500
